x,z,d18O,temp
1160,576,11.6,141.2
1170,510,16.8,47.6
1160,474,9,188
2990,662,16.8,47.6
2980,610,17.8,29.6
2970,566,16.6,51.2
2950,493,14.1,96.2
2960,398,15.4,72.8
2960,356,15.7,67.4
4630,659,12.2,130.4
4620,564,17.6,33.2
4650,510,15.2,76.4
4670,334,13.3,110.6
4720,156,14,98
5280,708,13.1,114.2
5290,605,20.6,17
5310,481,13,116
5330,400,12.5,125
6220,714,10.1,168.2
6250,501,11.1,150.2
6300,343,6.5,233
6860,727,7,224
6870,656,6.9,225.8
6890,521,6,242
6900,495,5.1,258.2
6900,477,6.1,240.2
6910,443,6.4,234.8
6940,304,5.5,251
7310,635,10.6,159.2
7300,608,10,170
7290,538,6.2,238.4
7290,411,6.8,227.6
7240,310,5.5,251
7680,661,19.1,6.19999999999999
7750,413,8.6,195.2
7730,331,15.6,69.2
7740,258,10.7,157.4
7810,151,7.6,213.2
8280,672,12.1,132.2
8350,466,7.8,209.6
8370,300,6,242
8400,158,8,206
9110,670,18.2,22.4
9120,562,19.6,15
9140,421,16.6,51.2
9190,269,9.5,179
9230,101,9.9,171.8
